Wing Section,Span Fraction,Chordwise Location (cpx),Pressure Coefficient (Cp)
Left,0.7443106207484775,0.0,-0.2793843493644594
Left,0.7443106207484775,0.0,-0.2598149539397671
Left,0.7443106207484775,0.0,-0.24018504606023283
Left,0.7443106207484775,0.0,-0.22061565063554056
Left,0.7443106207484775,0.0,-0.20122741949596792
Left,0.7443106207484775,0.0,-0.18213988753373142
Left,0.7443106207484775,0.0,-0.16347073573062676
Left,0.7443106207484775,0.0,-0.14533506561564297
Left,0.7443106207484775,0.0,-0.12784468962576126
Left,0.7443106207484775,0.0,-0.11110744174509943
Left,0.7443106207484775,0.0,-0.09522651267254151
Left,0.7443106207484775,0.0,-0.08029981361676455
Left,0.7443106207484775,0.0,-0.06641937264107861
Left,0.7443106207484775,0.0,-0.053670767279813764
Left,0.7443106207484775,0.0,-0.04213259692436369
Left,0.7443106207484775,0.0,-0.031875998231800706
Left,0.7443106207484775,0.0,-0.022964206543729687
Left,0.7443106207484775,0.0,-0.01545216601937896
Left,0.7443106207484775,0.0,-0.00938619088658818
Left,0.7443106207484775,0.0,-0.004803679899192392
Left,0.7443106207484775,0.0,-0.0017328857612684267
Left,0.7443106207484775,0.0,-0.00019274093981927476
Left,0.709329868768714,0.0,-0.49980725906018075
Left,0.709329868768714,0.0,-0.4982671142387316
Left,0.709329868768714,0.0,-0.4951963201008076
Left,0.709329868768714,0.0,-0.4906138091134118
Left,0.709329868768714,0.0,-0.484547833980621
Left,0.709329868768714,0.0,-0.47703579345627034
Left,0.709329868768714,0.0,-0.46812400176819924
Left,0.709329868768714,0.0,-0.45786740307563634
Left,0.709329868768714,0.0,-0.4463292327201862
Left,0.709329868768714,0.0,-0.4335806273589214
Left,0.709329868768714,0.0,-0.41970018638323536
Left,0.709329868768714,0.0,-0.40477348732745855
Left,0.709329868768714,0.0,-0.3888925582549005
Left,0.709329868768714,0.0,-0.37215531037423877
Left,0.709329868768714,0.0,-0.354664934384357
Left,0.709329868768714,0.0,-0.33652926426937324
Left,0.709329868768714,0.0,-0.31786011246626855
Left,0.709329868768714,0.0,-0.29877258050403205
Left,0.709329868768714,0.0,-0.2793843493644594
Left,0.709329868768714,0.0,-0.2598149539397671
Left,0.709329868768714,0.0,-0.24018504606023283
Left,0.709329868768714,0.0,-0.22061565063554056
Left,0.709329868768714,0.0,-0.20122741949596792
Left,0.709329868768714,0.0,-0.18213988753373142
Left,0.709329868768714,0.0,-0.16347073573062676
Left,0.709329868768714,0.0,-0.14533506561564297
Left,0.709329868768714,0.0,-0.12784468962576126
Left,0.709329868768714,0.0,-0.11110744174509943
Left,0.709329868768714,0.0,-0.09522651267254151
Left,0.709329868768714,0.0,-0.08029981361676455
Left,0.709329868768714,0.0,-0.06641937264107861
Left,0.709329868768714,0.0,-0.053670767279813764
Left,0.709329868768714,0.0,-0.04213259692436369
Left,0.709329868768714,0.0,-0.031875998231800706
Left,0.709329868768714,0.0,-0.022964206543729687
Left,0.709329868768714,0.0,-0.01545216601937896
Left,0.709329868768714,0.0,-0.00938619088658818
Left,0.709329868768714,0.0,-0.004803679899192392
Left,0.709329868768714,0.0,-0.0017328857612684267
Left,0.709329868768714,0.0,-0.00019274093981927476
Left,0.6730585285387465,0.0,-0.49980725906018075
Left,0.6730585285387465,0.0,-0.4982671142387316
Left,0.6730585285387465,0.0,-0.4951963201008076
Left,0.6730585285387465,0.0,-0.4906138091134118
Left,0.6730585285387465,0.0,-0.484547833980621
Left,0.6730585285387465,0.0,-0.47703579345627034
Left,0.6730585285387465,0.0,-0.46812400176819924
Left,0.6730585285387465,0.0,-0.45786740307563634
Left,0.6730585285387465,0.0,-0.4463292327201862
Left,0.6730585285387465,0.0,-0.4335806273589214
Left,0.6730585285387465,0.0,-0.41970018638323536
Left,0.6730585285387465,0.0,-0.40477348732745855
Left,0.6730585285387465,0.0,-0.3888925582549005
Left,0.6730585285387465,0.0,-0.37215531037423877
Left,0.6730585285387465,0.0,-0.354664934384357
Left,0.6730585285387465,0.0,-0.33652926426937324
Left,0.6730585285387465,0.0,-0.31786011246626855
Left,0.6730585285387465,0.0,-0.29877258050403205
Left,0.6730585285387465,0.0,-0.2793843493644594
Left,0.6730585285387465,0.0,-0.2598149539397671
Left,0.6730585285387465,0.0,-0.24018504606023283
Left,0.6730585285387465,0.0,-0.22061565063554056
Left,0.6730585285387465,0.0,-0.20122741949596792
Left,0.6730585285387465,0.0,-0.18213988753373142
Left,0.6730585285387465,0.0,-0.16347073573062676
Left,0.6730585285387465,0.0,-0.14533506561564297
Left,0.6730585285387465,0.0,-0.12784468962576126
Left,0.6730585285387465,0.0,-0.11110744174509943
Left,0.6730585285387465,0.0,-0.09522651267254151
Left,0.6730585285387465,0.0,-0.08029981361676455
Left,0.6730585285387465,0.0,-0.06641937264107861
Left,0.6730585285387465,0.0,-0.053670767279813764
Left,0.6730585285387465,0.0,-0.04213259692436369
Left,0.6730585285387465,0.0,-0.031875998231800706
Left,0.6730585285387465,0.0,-0.022964206543729687
Left,0.6730585285387465,0.0,-0.01545216601937896
Left,0.6730585285387465,0.0,-0.00938619088658818
Left,0.6730585285387465,0.0,-0.004803679899192392
Left,0.6730585285387465,0.0,-0.0017328857612684267
Left,0.6730585285387465,0.0,-0.00019274093981927476
Left,0.6357202249325371,0.0,-0.49980725906018075
Left,0.6357202249325371,0.0,-0.4982671142387316
Left,0.6357202249325371,0.0,-0.4951963201008076
Left,0.6357202249325371,0.0,-0.4906138091134118
Left,0.6357202249325371,0.0,-0.484547833980621
Left,0.6357202249325371,0.0,-0.47703579345627034
Left,0.6357202249325371,0.0,-0.46812400176819924
Left,0.6357202249325371,0.0,-0.45786740307563634
Left,0.6357202249325371,0.0,-0.4463292327201862
Left,0.6357202249325371,0.0,-0.4335806273589214
Left,0.6357202249325371,0.0,-0.41970018638323536
Left,0.6357202249325371,0.0,-0.40477348732745855
Left,0.6357202249325371,0.0,-0.3888925582549005
Left,0.6357202249325371,0.0,-0.37215531037423877
Left,0.6357202249325371,0.0,-0.354664934384357
Left,0.6357202249325371,0.0,-0.33652926426937324
Left,0.6357202249325371,0.0,-0.31786011246626855
Left,0.6357202249325371,0.0,-0.29877258050403205
Left,0.6357202249325371,0.0,-0.2793843493644594
Left,0.6357202249325371,0.0,-0.2598149539397671
Left,0.6357202249325371,0.0,-0.24018504606023283
Left,0.6357202249325371,0.0,-0.22061565063554056
Left,0.6357202249325371,0.0,-0.20122741949596792
Left,0.6357202249325371,0.0,-0.18213988753373142
Left,0.6357202249325371,0.0,-0.16347073573062676
Left,0.6357202249325371,0.0,-0.14533506561564297
Left,0.6357202249325371,0.0,-0.12784468962576126
Left,0.6357202249325371,0.0,-0.11110744174509943
Left,0.6357202249325371,0.0,-0.09522651267254151
Left,0.6357202249325371,0.0,-0.08029981361676455
Left,0.6357202249325371,0.0,-0.06641937264107861
Left,0.6357202249325371,0.0,-0.053670767279813764
Left,0.6357202249325371,0.0,-0.04213259692436369
Left,0.6357202249325371,0.0,-0.031875998231800706
Left,0.6357202249325371,0.0,-0.022964206543729687
Left,0.6357202249325371,0.0,-0.01545216601937896
Left,0.6357202249325371,0.0,-0.00938619088658818
Left,0.6357202249325371,0.0,-0.004803679899192392
Left,0.6357202249325371,0.0,-0.0017328857612684267
Left,0.6357202249325371,0.0,-0.00019274093981927476
Left,0.5975451610080641,0.0,-0.49980725906018075
Left,0.5975451610080641,0.0,-0.4982671142387316
Left,0.5975451610080641,0.0,-0.4951963201008076
Left,0.5975451610080641,0.0,-0.4906138091134118
Left,0.5975451610080641,0.0,-0.484547833980621
Left,0.5975451610080641,0.0,-0.47703579345627034
Left,0.5975451610080641,0.0,-0.46812400176819924
Left,0.5975451610080641,0.0,-0.45786740307563634
Left,0.5975451610080641,0.0,-0.4463292327201862
Left,0.5975451610080641,0.0,-0.4335806273589214
Left,0.5975451610080641,0.0,-0.41970018638323536
Left,0.5975451610080641,0.0,-0.40477348732745855
Left,0.5975451610080641,0.0,-0.3888925582549005
Left,0.5975451610080641,0.0,-0.37215531037423877
Left,0.5975451610080641,0.0,-0.354664934384357
Left,0.5975451610080641,0.0,-0.33652926426937324
Left,0.5975451610080641,0.0,-0.31786011246626855
Left,0.5975451610080641,0.0,-0.29877258050403205
Left,0.5975451610080641,0.0,-0.2793843493644594
Left,0.5975451610080641,0.0,-0.2598149539397671
Left,0.5975451610080641,0.0,-0.24018504606023283
Left,0.5975451610080641,0.0,-0.22061565063554056
Left,0.5975451610080641,0.0,-0.20122741949596792
Left,0.5975451610080641,0.0,-0.18213988753373142
Left,0.5975451610080641,0.0,-0.16347073573062676
Left,0.5975451610080641,0.0,-0.14533506561564297
Left,0.5975451610080641,0.0,-0.12784468962576126
Left,0.5975451610080641,0.0,-0.11110744174509943
Left,0.5975451610080641,0.0,-0.09522651267254151
Left,0.5975451610080641,0.0,-0.08029981361676455
Left,0.5975451610080641,0.0,-0.06641937264107861
Left,0.5975451610080641,0.0,-0.053670767279813764
Left,0.5975451610080641,0.0,-0.04213259692436369
Left,0.5975451610080641,0.0,-0.031875998231800706
Left,0.5975451610080641,0.0,-0.022964206543729687
Left,0.5975451610080641,0.0,-0.01545216601937896
Left,0.5975451610080641,0.0,-0.00938619088658818
Left,0.5975451610080641,0.0,-0.004803679899192392
Left,0.5975451610080641,0.0,-0.0017328857612684267
Left,0.5975451610080641,0.0,-0.00019274093981927476
Left,0.5587686987289188,0.0,-0.49980725906018075
Left,0.5587686987289188,0.0,-0.4982671142387316
Left,0.5587686987289188,0.0,-0.4951963201008076
Left,0.5587686987289188,0.0,-0.4906138091134118
Left,0.5587686987289188,0.0,-0.484547833980621
Left,0.5587686987289188,0.0,-0.47703579345627034
Left,0.5587686987289188,0.0,-0.46812400176819924
Left,0.5587686987289188,0.0,-0.45786740307563634
Left,0.5587686987289188,0.0,-0.4463292327201862
Left,0.5587686987289188,0.0,-0.4335806273589214
Left,0.5587686987289188,0.0,-0.41970018638323536
Left,0.5587686987289188,0.0,-0.40477348732745855
Left,0.5587686987289188,0.0,-0.3888925582549005
Left,0.5587686987289188,0.0,-0.37215531037423877
Left,0.5587686987289188,0.0,-0.354664934384357
Left,0.5587686987289188,0.0,-0.33652926426937324
Left,0.5587686987289188,0.0,-0.31786011246626855
Left,0.5587686987289188,0.0,-0.29877258050403205
Left,0.5587686987289188,0.0,-0.2793843493644594
Left,0.5587686987289188,0.0,-0.2598149539397671
Left,0.5587686987289188,0.0,-0.24018504606023283
Left,0.5587686987289188,0.0,-0.22061565063554056
Left,0.5587686987289188,0.0,-0.20122741949596792
Left,0.5587686987289188,0.0,-0.18213988753373142
Left,0.5587686987289188,0.0,-0.16347073573062676
Left,0.5587686987289188,0.0,-0.14533506561564297
Left,0.5587686987289188,0.0,-0.12784468962576126
Left,0.5587686987289188,0.0,-0.11110744174509943
Left,0.5587686987289188,0.0,-0.09522651267254151
Left,0.5587686987289188,0.0,-0.08029981361676455
Left,0.5587686987289188,0.0,-0.06641937264107861
Left,0.5587686987289188,0.0,-0.053670767279813764
Left,0.5587686987289188,0.0,-0.04213259692436369
Left,0.5587686987289188,0.0,-0.031875998231800706
Left,0.5587686987289188,0.0,-0.022964206543729687
Left,0.5587686987289188,0.0,-0.01545216601937896
Left,0.5587686987289188,0.0,-0.00938619088658818
Left,0.5587686987289188,0.0,-0.004803679899192392
Left,0.5587686987289188,0.0,-0.0017328857612684267
Left,0.5587686987289188,0.0,-0.00019274093981927476
Left,0.5196299078795342,0.0,-0.49980725906018075
Left,0.5196299078795342,0.0,-0.4982671142387316
Left,0.5196299078795342,0.0,-0.4951963201008076
Left,0.5196299078795342,0.0,-0.4906138091134118
Left,0.5196299078795342,0.0,-0.484547833980621
Left,0.5196299078795342,0.0,-0.47703579345627034
Left,0.5196299078795342,0.0,-0.46812400176819924
Left,0.5196299078795342,0.0,-0.45786740307563634
Left,0.5196299078795342,0.0,-0.4463292327201862
Left,0.5196299078795342,0.0,-0.4335806273589214
Left,0.5196299078795342,0.0,-0.41970018638323536
Left,0.5196299078795342,0.0,-0.40477348732745855
Left,0.5196299078795342,0.0,-0.3888925582549005
Left,0.5196299078795342,0.0,-0.37215531037423877
Left,0.5196299078795342,0.0,-0.354664934384357
Left,0.5196299078795342,0.0,-0.33652926426937324
Left,0.5196299078795342,0.0,-0.31786011246626855
Left,0.5196299078795342,0.0,-0.29877258050403205
Left,0.5196299078795342,0.0,-0.2793843493644594
Left,0.5196299078795342,0.0,-0.2598149539397671
Left,0.5196299078795342,0.0,-0.24018504606023283
Left,0.5196299078795342,0.0,-0.22061565063554056
Left,0.5196299078795342,0.0,-0.20122741949596792
Left,0.5196299078795342,0.0,-0.18213988753373142
Left,0.5196299078795342,0.0,-0.16347073573062676
Left,0.5196299078795342,0.0,-0.14533506561564297
Left,0.5196299078795342,0.0,-0.12784468962576126
Left,0.5196299078795342,0.0,-0.11110744174509943
Left,0.5196299078795342,0.0,-0.09522651267254151
Left,0.5196299078795342,0.0,-0.08029981361676455
Left,0.5196299078795342,0.0,-0.06641937264107861
Left,0.5196299078795342,0.0,-0.053670767279813764
Left,0.5196299078795342,0.0,-0.04213259692436369
Left,0.5196299078795342,0.0,-0.031875998231800706
Left,0.5196299078795342,0.0,-0.022964206543729687
Left,0.5196299078795342,0.0,-0.01545216601937896
Left,0.5196299078795342,0.0,-0.00938619088658818
Left,0.5196299078795342,0.0,-0.004803679899192392
Left,0.5196299078795342,0.0,-0.0017328857612684267
Left,0.5196299078795342,0.0,-0.00019274093981927476
Left,0.48037009212046566,0.0,-0.49980725906018075
Left,0.48037009212046566,0.0,-0.4982671142387316
Left,0.48037009212046566,0.0,-0.4951963201008076
Left,0.48037009212046566,0.0,-0.4906138091134118
Left,0.48037009212046566,0.0,-0.484547833980621
Left,0.48037009212046566,0.0,-0.47703579345627034
Left,0.48037009212046566,0.0,-0.46812400176819924
Left,0.48037009212046566,0.0,-0.45786740307563634
Left,0.48037009212046566,0.0,-0.4463292327201862
Left,0.48037009212046566,0.0,-0.4335806273589214
Left,0.48037009212046566,0.0,-0.41970018638323536
Left,0.48037009212046566,0.0,-0.40477348732745855
Left,0.48037009212046566,0.0,-0.3888925582549005
Left,0.48037009212046566,0.0,-0.37215531037423877
Left,0.48037009212046566,0.0,-0.354664934384357
Left,0.48037009212046566,0.0,-0.33652926426937324
Left,0.48037009212046566,0.0,-0.31786011246626855
Left,0.48037009212046566,0.0,-0.29877258050403205
Left,0.48037009212046566,0.0,-0.2793843493644594
Left,0.48037009212046566,0.0,-0.2598149539397671
Left,0.48037009212046566,0.0,-0.24018504606023283
Left,0.48037009212046566,0.0,-0.22061565063554056
Left,0.48037009212046566,0.0,-0.20122741949596792
Left,0.48037009212046566,0.0,-0.18213988753373142
Left,0.48037009212046566,0.0,-0.16347073573062676
Left,0.48037009212046566,0.0,-0.14533506561564297
Left,0.48037009212046566,0.0,-0.12784468962576126
Left,0.48037009212046566,0.0,-0.11110744174509943
Left,0.48037009212046566,0.0,-0.09522651267254151
Left,0.48037009212046566,0.0,-0.08029981361676455
Left,0.48037009212046566,0.0,-0.06641937264107861
Left,0.48037009212046566,0.0,-0.053670767279813764
Left,0.48037009212046566,0.0,-0.04213259692436369
Left,0.48037009212046566,0.0,-0.031875998231800706
Left,0.48037009212046566,0.0,-0.022964206543729687
Left,0.48037009212046566,0.0,-0.01545216601937896
Left,0.48037009212046566,0.0,-0.00938619088658818
Left,0.48037009212046566,0.0,-0.004803679899192392
Left,0.48037009212046566,0.0,-0.0017328857612684267
Left,0.48037009212046566,0.0,-0.00019274093981927476
Left,0.4412313012710811,0.0,-0.49980725906018075
Left,0.4412313012710811,0.0,-0.4982671142387316
Left,0.4412313012710811,0.0,-0.4951963201008076
Left,0.4412313012710811,0.0,-0.4906138091134118
Left,0.4412313012710811,0.0,-0.484547833980621
Left,0.4412313012710811,0.0,-0.47703579345627034
Left,0.4412313012710811,0.0,-0.46812400176819924
Left,0.4412313012710811,0.0,-0.45786740307563634
Left,0.4412313012710811,0.0,-0.4463292327201862
Left,0.4412313012710811,0.0,-0.4335806273589214
Left,0.4412313012710811,0.0,-0.41970018638323536
Left,0.4412313012710811,0.0,-0.40477348732745855
Left,0.4412313012710811,0.0,-0.3888925582549005
Left,0.4412313012710811,0.0,-0.37215531037423877
Left,0.4412313012710811,0.0,-0.354664934384357
Left,0.4412313012710811,0.0,-0.33652926426937324
Left,0.4412313012710811,0.0,-0.31786011246626855
Left,0.4412313012710811,0.0,-0.29877258050403205
Left,0.4412313012710811,0.0,-0.2793843493644594
Left,0.4412313012710811,0.0,-0.2598149539397671
Left,0.4412313012710811,0.0,-0.24018504606023283
Left,0.4412313012710811,0.0,-0.22061565063554056
Left,0.4412313012710811,0.0,-0.20122741949596792
Left,0.4412313012710811,0.0,-0.18213988753373142
Left,0.4412313012710811,0.0,-0.16347073573062676
Left,0.4412313012710811,0.0,-0.14533506561564297
Left,0.4412313012710811,0.0,-0.12784468962576126
Left,0.4412313012710811,0.0,-0.11110744174509943
Left,0.4412313012710811,0.0,-0.09522651267254151
Left,0.4412313012710811,0.0,-0.08029981361676455
Left,0.4412313012710811,0.0,-0.06641937264107861
Left,0.4412313012710811,0.0,-0.053670767279813764
Left,0.4412313012710811,0.0,-0.04213259692436369
Left,0.4412313012710811,0.0,-0.031875998231800706
Left,0.4412313012710811,0.0,-0.022964206543729687
Left,0.4412313012710811,0.0,-0.01545216601937896
Left,0.4412313012710811,0.0,-0.00938619088658818
Left,0.4412313012710811,0.0,-0.004803679899192392
Left,0.4412313012710811,0.0,-0.0017328857612684267
Left,0.4412313012710811,0.0,-0.00019274093981927476
Left,0.40245483899193585,0.0,-0.49980725906018075
Left,0.40245483899193585,0.0,-0.4982671142387316
Left,0.40245483899193585,0.0,-0.4951963201008076
Left,0.40245483899193585,0.0,-0.4906138091134118
Left,0.40245483899193585,0.0,-0.484547833980621
Left,0.40245483899193585,0.0,-0.47703579345627034
Left,0.40245483899193585,0.0,-0.46812400176819924
Left,0.40245483899193585,0.0,-0.45786740307563634
Left,0.40245483899193585,0.0,-0.4463292327201862
Left,0.40245483899193585,0.0,-0.4335806273589214
Left,0.40245483899193585,0.0,-0.41970018638323536
Left,0.40245483899193585,0.0,-0.40477348732745855
Left,0.40245483899193585,0.0,-0.3888925582549005
Left,0.40245483899193585,0.0,-0.37215531037423877
Left,0.40245483899193585,0.0,-0.354664934384357
Left,0.40245483899193585,0.0,-0.33652926426937324
Left,0.40245483899193585,0.0,-0.31786011246626855
Left,0.40245483899193585,0.0,-0.29877258050403205
Left,0.40245483899193585,0.0,-0.2793843493644594
Left,0.40245483899193585,0.0,-0.2598149539397671
Left,0.40245483899193585,0.0,-0.24018504606023283
Left,0.40245483899193585,0.0,-0.22061565063554056
Left,0.40245483899193585,0.0,-0.20122741949596792
Left,0.40245483899193585,0.0,-0.18213988753373142
Left,0.40245483899193585,0.0,-0.16347073573062676
Left,0.40245483899193585,0.0,-0.14533506561564297
Left,0.40245483899193585,0.0,-0.12784468962576126
Left,0.40245483899193585,0.0,-0.11110744174509943
Left,0.40245483899193585,0.0,-0.09522651267254151
Left,0.40245483899193585,0.0,-0.08029981361676455
Left,0.40245483899193585,0.0,-0.06641937264107861
Left,0.40245483899193585,0.0,-0.053670767279813764
Left,0.40245483899193585,0.0,-0.04213259692436369
Left,0.40245483899193585,0.0,-0.031875998231800706
Left,0.40245483899193585,0.0,-0.022964206543729687
Left,0.40245483899193585,0.0,-0.01545216601937896
Left,0.40245483899193585,0.0,-0.00938619088658818
Left,0.40245483899193585,0.0,-0.004803679899192392
Left,0.40245483899193585,0.0,-0.0017328857612684267
Left,0.40245483899193585,0.0,-0.00019274093981927476
Left,0.36427977506746284,0.0,-0.49980725906018075
Left,0.36427977506746284,0.0,-0.4982671142387316
Left,0.36427977506746284,0.0,-0.4951963201008076
Left,0.36427977506746284,0.0,-0.4906138091134118
Left,0.36427977506746284,0.0,-0.484547833980621
Left,0.36427977506746284,0.0,-0.47703579345627034
Left,0.36427977506746284,0.0,-0.46812400176819924
Left,0.36427977506746284,0.0,-0.45786740307563634
Left,0.36427977506746284,0.0,-0.4463292327201862
Left,0.36427977506746284,0.0,-0.4335806273589214
Left,0.36427977506746284,0.0,-0.41970018638323536
Left,0.36427977506746284,0.0,-0.40477348732745855
Left,0.36427977506746284,0.0,-0.3888925582549005
Left,0.36427977506746284,0.0,-0.37215531037423877
Left,0.36427977506746284,0.0,-0.354664934384357
Left,0.36427977506746284,0.0,-0.33652926426937324
Left,0.36427977506746284,0.0,-0.31786011246626855
Left,0.36427977506746284,0.0,-0.29877258050403205
Left,0.36427977506746284,0.0,-0.2793843493644594
Left,0.36427977506746284,0.0,-0.2598149539397671
Left,0.36427977506746284,0.0,-0.24018504606023283
Left,0.36427977506746284,0.0,-0.22061565063554056
Left,0.36427977506746284,0.0,-0.20122741949596792
Left,0.36427977506746284,0.0,-0.18213988753373142
Left,0.36427977506746284,0.0,-0.16347073573062676
Left,0.36427977506746284,0.0,-0.14533506561564297
Left,0.36427977506746284,0.0,-0.12784468962576126
Left,0.36427977506746284,0.0,-0.11110744174509943
Left,0.36427977506746284,0.0,-0.09522651267254151
Left,0.36427977506746284,0.0,-0.08029981361676455
Left,0.36427977506746284,0.0,-0.06641937264107861
Left,0.36427977506746284,0.0,-0.053670767279813764
Left,0.36427977506746284,0.0,-0.04213259692436369
Left,0.36427977506746284,0.0,-0.031875998231800706
Left,0.36427977506746284,0.0,-0.022964206543729687
Left,0.36427977506746284,0.0,-0.01545216601937896
Left,0.36427977506746284,0.0,-0.00938619088658818
Left,0.36427977506746284,0.0,-0.004803679899192392
Left,0.36427977506746284,0.0,-0.0017328857612684267
Left,0.36427977506746284,0.0,-0.00019274093981927476
Left,0.3269414714612535,0.0,-0.49980725906018075
Left,0.3269414714612535,0.0,-0.4982671142387316
Left,0.3269414714612535,0.0,-0.4951963201008076
Left,0.3269414714612535,0.0,-0.4906138091134118
Left,0.3269414714612535,0.0,-0.484547833980621
Left,0.3269414714612535,0.0,-0.47703579345627034
Left,0.3269414714612535,0.0,-0.46812400176819924
Left,0.3269414714612535,0.0,-0.45786740307563634
Left,0.3269414714612535,0.0,-0.4463292327201862
Left,0.3269414714612535,0.0,-0.4335806273589214
Left,0.3269414714612535,0.0,-0.41970018638323536
Left,0.3269414714612535,0.0,-0.40477348732745855
Left,0.3269414714612535,0.0,-0.3888925582549005
Left,0.3269414714612535,0.0,-0.37215531037423877
Left,0.3269414714612535,0.0,-0.354664934384357
Left,0.3269414714612535,0.0,-0.33652926426937324
Left,0.3269414714612535,0.0,-0.31786011246626855
Left,0.3269414714612535,0.0,-0.29877258050403205
Left,0.3269414714612535,0.0,-0.2793843493644594
Left,0.3269414714612535,0.0,-0.2598149539397671
Left,0.3269414714612535,0.0,-0.24018504606023283
Left,0.3269414714612535,0.0,-0.22061565063554056
Left,0.3269414714612535,0.0,-0.20122741949596792
Left,0.3269414714612535,0.0,-0.18213988753373142
Left,0.3269414714612535,0.0,-0.16347073573062676
Left,0.3269414714612535,0.0,-0.14533506561564297
Left,0.3269414714612535,0.0,-0.12784468962576126
Left,0.3269414714612535,0.0,-0.11110744174509943
Left,0.3269414714612535,0.0,-0.09522651267254151
Left,0.3269414714612535,0.0,-0.08029981361676455
Left,0.3269414714612535,0.0,-0.06641937264107861
Left,0.3269414714612535,0.0,-0.053670767279813764
Left,0.3269414714612535,0.0,-0.04213259692436369
Left,0.3269414714612535,0.0,-0.031875998231800706
Left,0.3269414714612535,0.0,-0.022964206543729687
Left,0.3269414714612535,0.0,-0.01545216601937896
Left,0.3269414714612535,0.0,-0.00938619088658818
Left,0.3269414714612535,0.0,-0.004803679899192392
Left,0.3269414714612535,0.0,-0.0017328857612684267
Left,0.3269414714612535,0.0,-0.00019274093981927476
Left,0.29067013123128593,0.0,-0.49980725906018075
Left,0.29067013123128593,0.0,-0.4982671142387316
Left,0.29067013123128593,0.0,-0.4951963201008076
Left,0.29067013123128593,0.0,-0.4906138091134118
Left,0.29067013123128593,0.0,-0.484547833980621
Left,0.29067013123128593,0.0,-0.47703579345627034
Left,0.29067013123128593,0.0,-0.46812400176819924
Left,0.29067013123128593,0.0,-0.45786740307563634
Left,0.29067013123128593,0.0,-0.4463292327201862
Left,0.29067013123128593,0.0,-0.4335806273589214
Left,0.29067013123128593,0.0,-0.41970018638323536
Left,0.29067013123128593,0.0,-0.40477348732745855
Left,0.29067013123128593,0.0,-0.3888925582549005
Left,0.29067013123128593,0.0,-0.37215531037423877
Left,0.29067013123128593,0.0,-0.354664934384357
Left,0.29067013123128593,0.0,-0.33652926426937324
Left,0.29067013123128593,0.0,-0.31786011246626855
Left,0.29067013123128593,0.0,-0.29877258050403205
Left,0.29067013123128593,0.0,-0.2793843493644594
Left,0.29067013123128593,0.0,-0.2598149539397671
Left,0.29067013123128593,0.0,-0.24018504606023283
Left,0.29067013123128593,0.0,-0.22061565063554056
Left,0.29067013123128593,0.0,-0.20122741949596792
Left,0.29067013123128593,0.0,-0.18213988753373142
Left,0.29067013123128593,0.0,-0.16347073573062676
Left,0.29067013123128593,0.0,-0.14533506561564297
Left,0.29067013123128593,0.0,-0.12784468962576126
Left,0.29067013123128593,0.0,-0.11110744174509943
Left,0.29067013123128593,0.0,-0.09522651267254151
Left,0.29067013123128593,0.0,-0.08029981361676455
Left,0.29067013123128593,0.0,-0.06641937264107861
Left,0.29067013123128593,0.0,-0.053670767279813764
Left,0.29067013123128593,0.0,-0.04213259692436369
Left,0.29067013123128593,0.0,-0.031875998231800706
Left,0.29067013123128593,0.0,-0.022964206543729687
Left,0.29067013123128593,0.0,-0.01545216601937896
Left,0.29067013123128593,0.0,-0.00938619088658818
Left,0.29067013123128593,0.0,-0.004803679899192392
Left,0.29067013123128593,0.0,-0.0017328857612684267
Left,0.29067013123128593,0.0,-0.00019274093981927476
Left,0.2556893792515225,0.0,-0.49980725906018075
Left,0.2556893792515225,0.0,-0.4982671142387316
Left,0.2556893792515225,0.0,-0.4951963201008076
Left,0.2556893792515225,0.0,-0.4906138091134118
Left,0.2556893792515225,0.0,-0.484547833980621
Left,0.2556893792515225,0.0,-0.47703579345627034
Left,0.2556893792515225,0.0,-0.46812400176819924
Left,0.2556893792515225,0.0,-0.45786740307563634
Left,0.2556893792515225,0.0,-0.4463292327201862
Left,0.2556893792515225,0.0,-0.4335806273589214
Left,0.2556893792515225,0.0,-0.41970018638323536
Left,0.2556893792515225,0.0,-0.40477348732745855
Left,0.2556893792515225,0.0,-0.3888925582549005
Left,0.2556893792515225,0.0,-0.37215531037423877
Left,0.2556893792515225,0.0,-0.354664934384357
Left,0.2556893792515225,0.0,-0.33652926426937324
Left,0.2556893792515225,0.0,-0.31786011246626855
Left,0.2556893792515225,0.0,-0.29877258050403205
Left,0.2556893792515225,0.0,-0.2793843493644594
Left,0.2556893792515225,0.0,-0.2598149539397671
Left,0.2556893792515225,0.0,-0.24018504606023283
Left,0.2556893792515225,0.0,-0.22061565063554056
Left,0.2556893792515225,0.0,-0.20122741949596792
Left,0.2556893792515225,0.0,-0.18213988753373142
Left,0.2556893792515225,0.0,-0.16347073573062676
Left,0.2556893792515225,0.0,-0.14533506561564297
Left,0.2556893792515225,0.0,-0.12784468962576126
Left,0.2556893792515225,0.0,-0.11110744174509943
Left,0.2556893792515225,0.0,-0.09522651267254151
Left,0.2556893792515225,0.0,-0.08029981361676455
Left,0.2556893792515225,0.0,-0.06641937264107861
Left,0.2556893792515225,0.0,-0.053670767279813764
Left,0.2556893792515225,0.0,-0.04213259692436369
Left,0.2556893792515225,0.0,-0.031875998231800706
Left,0.2556893792515225,0.0,-0.022964206543729687
Left,0.2556893792515225,0.0,-0.01545216601937896
